Configuration	Term	g	Level (eV)
2p6.3s	2S	2	0
2p6.3p	2P*	2	2.102297159
2p6.3p	2P*	4	2.104429184
2p6.4s	2S	2	3.1913531
2p6.3d	2D	6	3.61697078
2p6.3d	2D	4	3.61697698
2p6.4p	2P*	2	3.7526285
2p6.4p	2P*	4	3.7533215
2p6.5s	2S	2	4.11635879
2p6.4d	2D	6	4.28349644
2p6.4d	2D	4	4.28350078
2p6.4f	2F*	8	4.2882315
2p6.4f	2F*	6	4.2882315
2p6.5p	2P*	2	4.3444534
2p6.5p	2P*	4	4.3447596
2p6.6s	2S	2	4.50962985
2p6.5d	2D	6	4.59197197
2p6.5d	2D	4	4.59197445
2p6.5f	2F*	8	4.594563
2p6.5f	2F*	6	4.594563
2p6.5g	2G	18	4.594797
2p6.6p	2P*	2	4.6241543
2p6.6p	2P*	4	4.6243142
2p6.7s	2S	2	4.71289252
2p6.6d	2D	6	4.759413
2p6.6d	2D	4	4.75941461
2p6.6f	2F*	8	4.7609671
2p6.6f	2F*	6	4.7609671
2p6.6g	2G	8	4.76110477
2p6.6g	2G	10	4.76110526
2p6.6h	2H*	12	4.76113539
2p6.6h	2H*	10	4.76113613
2p6.7p	2P*	2	4.7783733
2p6.7p	2P*	4	4.7784663
2p6.8s	2S	2	4.8314794
2p6.7d	2D	6	4.8602958
2p6.7d	2D	4	4.8602958
2p6.7f	2F*	8	4.8612939
2p6.7f	2F*	6	4.8612939
2p6.7g	2G	18	4.86138628
2p6.7h	2H*	22	4.86140637
2p6.8p	2P*	2	4.8723744
2p6.8p	2P*	4	4.8724351
2p6.9s	2S	2	4.906656
2p6.8d	2D	6	4.925731
2p6.8d	2D	4	4.925731
2p6.8f	2F*	8	4.9264079
2p6.8f	2F*	6	4.9264079
2p6.8g	2G	18	4.92647216
2p6.8h	2H*	22	4.92648605
2p6.9p	2P*	2	4.93388654
2p6.9p	2P*	4	4.93392758
2p6.10s	2S	2	4.9572936
2p6.9d	2D	6	4.9705649
2p6.9d	2D	4	4.9705649
2p6.9f	2F*	8	4.971046
2p6.9f	2F*	6	4.971046
2p6.9g	2G	18	4.97109445
2p6.9h	2H*	22	4.97110424
2p6.10p	2P*	2	4.97633017
2p6.10p	2P*	4	4.97635906
2p6.11s	2S	2	4.99301671
2p6.10d	2D	6	5.00262784
2p6.10d	2D	4	5.00262821
2p6.10f	2F*	8	5.0029807
2p6.10f	2F*	6	5.0029807
2p6.10g	2G	18	5.00301219
2p6.10h	2H*	22	5.00301938
2p6.11p	2P*	2	5.00684454
2p6.11p	2P*	4	5.00686587
2p6.12s	2S	2	5.01915754
2p6.11d	2D	6	5.02633089
2p6.11d	2D	4	5.02633114
2p6.11f	2F*	6	5.02660366
2p6.11f	2F*	8	5.02660366
2p6.11g	2G	18	5.02662734
2p6.12p	2P*	2	5.02951605
2p6.12p	2P*	4	5.02953216
2p6.13s	2S	2	5.03886012
2p6.12d	2D	4	5.04436018
2p6.12d	2D	6	5.04436018
2p6.12f	2F*	14	5.04457021
2p6.12g	2G	18	5.04458868
2p6.13p	2P*	2	5.04681941
2p6.13p	2P*	4	5.0468318
2p6.14s	2S	2	5.05407744
2p6.13d	2D	6	5.05838688
2p6.13d	2D	4	5.05838713
2p6.13f	2F*	14	5.05855203
2p6.13g	2G	18	5.05856654
2p6.14p	2P*	2	5.06032488
2p6.14p	2P*	4	5.06033467
2p6.15s	2S	2	5.06607465
2p6.14d	2D	6	5.06951372
2p6.14d	2D	4	5.06951384
2p6.14f	2F*	14	5.06964589
2p6.14g	2G	18	5.06965754
2p6.15p	2P*	2	5.07106799
2p6.15p	2P*	4	5.0710758
2p6.16s	2S	2	5.07569991
2p6.15d	2D	4	5.07848832
2p6.15d	2D	6	5.07848832
2p6.15f	2F*	14	5.07859569
2p6.15g	2G	18	5.07860523
2p6.16p	2P*	2	5.07975358
2p6.16p	2P*	4	5.07976002
2p6.17s	2S	2	5.08353993
2p6.16d	2D	6	5.08583178
2p6.16d	2D	4	5.0858319
2p6.16f	2F*	14	5.0859203
2p6.16g	2G	18	5.08592811
2p6.17p	2P*	2	5.0868756
2p6.17p	2P*	4	5.08688093
2p6.18s	2S	2	5.09001017
2p6.17d	2D	6	5.0919168
2p6.17d	2D	4	5.09191692
2p6.17f	2F*	14	5.09199057
2p6.17g	2G	18	5.09199714
2p6.18p	2P*	2	5.09278803
2p6.18p	2P*	4	5.09279237
2p6.19s	2S	2	5.09541216
2p6.18d	2D	4	5.0970154
2p6.18d	2D	6	5.0970154
2p6.18f	2F*	14	5.09707752
2p6.18g	2G	8	5.09708297
2p6.18g	2G	10	5.0970831
2p6.19p	2P*	2	5.09774988
2p6.19p	2P*	4	5.0977536
2p6.20s	2S	2	5.09996883
2p6.19d	2D	6	5.10132968
2p6.19d	2D	4	5.1013298
2p6.19f	2F*	14	5.1013825
2p6.19g	2G	18	5.10138721
2p6.20p	2P*	2	5.10195468
2p6.20p	2P*	4	5.10195791
2p6.20d	2D	4	5.10501275
2p6.20d	2D	6	5.10501275
2p6.20f	2F*	14	5.10505801
2p6.20g	2G	18	5.10506197
2p5.3s2	2P*	4	30.7692
2p5.3s2	2P*	2	30.9327
2p5.(2P*).3s.3p.(3P*)	4S	4	32.7002
2p5.(2P*).3s.3p.(3P*)	4D	8	33.0525
2p5.(2P*).3s.3p.(3P*)	4D	6	33.0956
2p5.(2P*).3s.3p.(3P*)	4D	4	33.1388
2p5.(2P*).3s.3p.(3P*)	4D	2	33.1752
2p5.(2P*).3s.3p.(3P*)	4P	6	33.2915
2p5.(2P*).3s.3p.(3P*)	4P	4	33.339
2p5.(2P*).3s.3p.(3P*)	4P	2	33.3625
2p5.(2P*).3s.3p.(3P*)	2D	4	33.4418
2p5.(2P*).3s.3p.(3P*)	2D	6	33.5
2p5.(2P*).3s.3p.(3P*)	2P	2	33.5479
2p5.(2P*).3s.3p.(3P*)	2P	4	33.5845
2p5.(2P*).3s.3p.(3P*)	2S	2	33.8769
2p5.(2P*).3s.3p.(1P*)	2D	6	34.7895
2p5.(2P*).3s.3p.(1P*)	2S	2	34.812
2p5.(2P*).3s.3p.(1P*)	2P	4	34.8419
2p5.(2P*).3s.3p.(1P*)	2D	4	34.973
2p5.(2P*).3s.3p.(1P*)	2P	2	35.0047
2p5.3s.(3P*).4s	4P*	6	35.4967
2p5.3s.(3P*).4s	4P*	4	35.5648
2p5.3s.(3P*).4s	4P*	2	35.6299
2p5.3s.(3P*).4s	2P*	4	35.7635
2p5.3s.(3P*).4s	2P*	2	35.787
2p5.3s.(3P*).3d	2P*	2	35.9844
2p5.3s.(3P*).3d	2P*	4	36.016
2p5.3s.(1P*).4s	2P*	4	36.0529
2p5.3s.(1P*).4s	2P*	2	36.1265
2p5.3s.(3P*).3d	2D*	4	36.2145
2p5.3s.(3P*).3d	4P*	2	36.2306
2p5.3s.(3P*).3d	4P*	4	36.2392
2p5.3s.(3P*).3d	4F*	10	36.2456
2p5.3s.(3P*).3d	4D*	6	36.2529
2p5.3s.(3P*).3d	4F*	8	36.2591
2p5.3s.(3P*).3d	4F*	6	36.3167
2p5.3s.(3P*).3d	4D*	4	36.3286
2p5.3s.(3P*).3d	4D*	2	36.3439
2p5.3s.(3P*).3d	4F*	4	36.3928
2p5.3s.(3P*).4p	2D	4	36.582
2p5.3s.(1P*).3d	2P*	4	36.6118
2p5.3s.(1P*).3d	2P*	2	36.6406
2p5.3s.(1P*).3d	2D*	6	36.667
2p5.3s.(1P*).3d	2D*	4	36.6682
2p5.3s.(1P*).4p	2D	6	36.7707
2p5.3s.(1P*).4p	2S	2	36.7759
2p5.3s.(1P*).4p	2P	4	36.7995
2p5.3s.(1P*).4p	2D	4	36.8293
2p5.3s.(3P*).5s	4P*	4	36.8325
2p5.3s.(1P*).4p	2P	2	36.8383
2p5.3s.(3P*).5s	2P*	4	36.9033
2p5.3s.(3P*).4d	2P*	2	36.9131
2p5.3s.(3P*).4d	2P*	4	36.9284
2p5.3s.(3P*).5s	2P*	2	36.9907
2p5.3s.(3P*).4d	2D*	4	37.0695
2p5.3s.(3P*).4d	4F*	4	37.2002
2p5.3s.(1P*).5s	2P*?	4	37.2723
2p5.3s.(3P*).6s	2P*	4	37.2916
2p5.3s.(3P*).6s	4P*?	4	37.3717
2p5.3s.(3P*).6s	4P*?	2	37.3795
2p5.3s.(1P*).4d	2P*?	4	37.3921
2p5.3s.(1P*).4d	2P*?	2	37.4403
2p5.3s.(3P*).6s	2P*?	2	37.4608
2p5.3s.(3P*).5d	4F*?	4	37.4952
2p5.3s.(3P*).5d	4D*?	2	37.5
2p5.3s.(3P*).7s	2P*	4	37.5283
2p5.3s.(3P*).6d	2P*?	2	37.5461
2p5.3s.(3P*).6d	4P*?	6	37.5961
2p5.3s.(3P*).7s	2P*,4P*	6	37.6169
2p5.3s.(3P*).6d	4D*?	2	37.6519
2p5.3s.(3P*).8s	2P*?	4	37.6588
2p5.3s.(3P*).7s	4P*	2	37.688
2p5.3s.(3P*).7d	4P*?	4	37.6979
2p5.3s.(3P*).7d	2P*?	2	37.7024
2p5.3s.(3P*).9s	2P*	4	37.7372
2p5.3s.(1P*).6s	2P*	6	37.7471
2p5.3s.(3P*).6d	4F*?	4	37.759
2p5.3s.(3P*).8d	4P*	6	37.7667
2p5.3s.(3P*).7d	4D*	6	37.7863
2p5.3s.(3P*).10s	2P*	4	37.7935
2p5.3s.(3P*).9d	4P*	6	37.808
2p5.3s.(3P*).8s	4P*	2	37.821
2p5.3s.(3P*).9s	2P*,4P*?	6	37.8329
2p5.3s.(3P*).10d	4P*	6	37.8417
2p5.3s.(3P*).8d	4D*	6	37.8439
2p5.3s.(3P*).7d	4F*	4	37.8547
2p5.3s.(3P*).12s	2P*	4	37.8594
2p5.3s.(1P*).5d	2P*	6	37.8656
2p5.3s.(3P*).13s	2P*	4	37.8779
2p5.3s.(3P*).12d	4P*?	6	37.8849
2p5.3s.(3P*).14s	2P*	4	37.8954
2p5.3s.(3P*).9s	4P*?	2	37.9006
2p5.3s.(3P*).15s	2P*	4	37.9099
2p5.3s.(3P*).16s	2P*	4	37.9203
2p5.3s.(3P*).11s	2P*,4P*	6	37.9264
2p5.3s.(3P*).8d	4F*	4	37.9346
2p5.3s.(3P*).12s	2P*,4P*	6	37.9535
2p5.3s.(3P*).10s	4P*	2	37.96
2p5.3s.(3P*).13s	2P*,4P*	6	37.9725
2p5.3s.(3P*).9d	4F*	4	37.9796
2p5.3s.(1P*).7s	2P*	6	37.9941
2p5.3s.(3P*).11s	4P*	2	38.0041
2p5.3s.(3P*).12s	4P*	2	38.0274
2p5.3s.(1P*).6d	2P*	6	38.0506
2p5.3s.(3P*).14s	4P*	2	38.067
